booking_id,booking_id_type,incident_number,incident_date_time,incident_facility_location,incident_location,incident_type,incident_category
20180330219,Sample Set BookingID,CCB-2018-13516,2018-10-23 10:25:00,CRIMINAL COURTS BUILDING,COURT,Disciplinary,Masturbation
20161124094,Non Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Inmate Fight,
20170613162,Non Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Inmate Fight,
20180107144,Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Inmate Fight,
20140926012,Non Sample Set BookingID,CCB-2018-14484,2018-11-14 10:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,
20180418071,Sample Set BookingID,CCB-2018-14484,2018-11-14 10:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,
20170831143,Non Sample Set BookingID,CCB-2018-15648,2018-12-13 08:30:00,CRIMINAL COURTS BUILDING,CCB BRIDGE,Inmate Fight,
20180107012,Sample Set BookingID,CCB-2018-15648,2018-12-13 08:30:00,CRIMINAL COURTS BUILDING,CCB BRIDGE,Inmate Fight,
20180518022,Sample Set BookingID,CCB-2018-15648,2018-12-13 08:30:00,CRIMINAL COURTS BUILDING,CCB BRIDGE,Inmate Fight,
20180213188,Sample Set BookingID,CCB-2018-2123,2018-02-13 14:00:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Informational,
20180201038,Sample Set BookingID,CCB-2018-4131,2018-03-27 10:56:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,
20180407052,Sample Set BookingID,CCB-2018-5013,2018-04-16 12:30:00,DIVISION 6,RCDC,Inmate Fight,
20180415002,Non Sample Set BookingID,CCB-2018-5013,2018-04-16 12:30:00,DIVISION 6,RCDC,Inmate Fight,
20180314047,Sample Set BookingID,CCB-2018-5213,2018-04-20 11:50:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Inmate Escape,Attempt Battery to Staff
20180314047,Sample Set BookingID,CCB-2018-5213,2018-04-20 11:50:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Inmate Escape,Inmate Escape
20180314047,Sample Set BookingID,CCB-2018-5213,2018-04-20 11:50:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Inmate Escape,Disciplinary
20180207010,Sample Set BookingID,CCB-2018-8314,2018-06-28 13:35:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Battery To Staff With Injuries,Battery to Staff
20170510156,Non Sample Set BookingID,CCB-2018-9129,2018-07-17 09:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Inmate Fight,
20180529115,Sample Set BookingID,CCB-2018-9129,2018-07-17 09:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Inmate Fight,
20140804277,Non Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Disciplinary
20171210128,Non Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Disciplinary
20171210130,Non Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Disciplinary
20180413219,Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Disciplinary
20171106238,Non Sample Set BookingID,CCB-2018-9456,2018-07-24 11:25:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Disciplinary
20171106238,Non Sample Set BookingID,CCB-2018-9456,2018-07-24 11:25:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Contraband Confiscated (From Detainee)
20180101030,Sample Set BookingID,CCB-2018-9456,2018-07-24 11:25:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Contraband Confiscated (From Detainee)
20180101030,Sample Set BookingID,CCB-2018-9456,2018-07-24 11:25:00,CRIMINAL COURTS BUILDING,COURTHOUSE,Disciplinary,Disciplinary
20180511154,Sample Set BookingID,CCB-2019-1407,2019-02-01 14:05:00,CRIMINAL COURTS BUILDING,Courtroom,Security,
20180113170,Sample Set BookingID,CCMT-2018-11104,2018-08-28 08:00:00,CRIMINAL COURT MOVEMENT TEAM,TUNNEL,Use of Force,Disciplinary
20180113170,Sample Set BookingID,CCMT-2018-11104,2018-08-28 08:00:00,CRIMINAL COURT MOVEMENT TEAM,TUNNEL,Use of Force,Use of Force
20180414027,Sample Set BookingID,CCMT-2018-12024,2018-09-17 09:48:00,CRIMINAL COURT MOVEMENT TEAM,CCB BRIDGE,Disciplinary,Masturbation
20180112077,Sample Set BookingID,CCMT-2018-14413,2018-11-13 07:45:00,CRIMINAL COURT MOVEMENT TEAM,HALLWAY,Disciplinary,Disciplinary
20180117124,Sample Set BookingID,CCMT-2018-5311,2018-04-23 07:47:00,CRIMINAL COURT MOVEMENT TEAM,STAGING AREA,Disciplinary,Disciplinary
20180517139,Sample Set BookingID,CCMT-2018-8907,2018-07-12 11:35:00,CRIMINAL COURT MOVEMENT TEAM,CCB BRIDGE,Disciplinary,Disciplinary
20180517139,Sample Set BookingID,CCMT-2018-8907,2018-07-12 11:35:00,CRIMINAL COURT MOVEMENT TEAM,CCB BRIDGE,Disciplinary,Assault to Staff
20180529115,Sample Set BookingID,CCMT-2018-9138,2018-07-17 12:37:00,CRIMINAL COURT MOVEMENT TEAM,COURTHOUSE,Battery To Staff With Injuries,Battery to Staff
20180115069,Sample Set BookingID,CIID-2018-10862,2018-08-22 16:00:00,CIID,CIID,Informational,Informational
20180223066,Sample Set BookingID,CIID-2018-11503,2018-09-01 10:07:00,CIID,DAYROOM,Disciplinary,Informational
20140926012,Non Sample Set BookingID,CIID-2018-11556,2018-09-06 15:45:00,CIID,HALLWAY,Contraband Recovery,Contraband Confiscated (From Detainee)
20180623183,Sample Set BookingID,CIID-2018-11556,2018-09-06 15:45:00,CIID,HALLWAY,Contraband Recovery,Contraband Confiscated (From Detainee)
20180623079,Sample Set BookingID,CIID-2018-11628,2018-09-06 10:30:00,CIID,CIID,Destruction Of Property,Destruction of Property
20180330089,Sample Set BookingID,CIID-2018-12197,2018-09-19 10:13:00,CIID,POST 8,Disciplinary,Attempt Battery to Staff
20180303094,Sample Set BookingID,CIID-2018-4585,2018-04-06 10:00:00,CIID,CIID,Contraband Recovery,Contraband Confiscated (From Detainee)
20180115001,Sample Set BookingID,CIID-2018-6097,2018-05-09 11:00:00,CIID,DAYROOM,Informational,
20170321039,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Disciplinary
20170321039,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Destruction of Property
20170529128,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Destruction of Property
20170529128,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Disciplinary
20170825163,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Destruction of Property
20170825163,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Disciplinary
20180330085,Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Disciplinary
20180330085,Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Destruction of Property
20180608172,Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Destruction of Property
20180608172,Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Disciplinary
20180626168,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Destruction of Property
20180626168,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,Disciplinary,Disciplinary
20171123015,Non Sample Set BookingID,CNBE-2018-1348,2018-01-26 11:50:00,PCN-BELMONT,IN CELL,Inmate Fight,Inmate Fight
20171230017,Non Sample Set BookingID,CNBE-2018-1348,2018-01-26 11:50:00,PCN-BELMONT,IN CELL,Inmate Fight,Inmate Fight
20180121064,Sample Set BookingID,CNBE-2018-1348,2018-01-26 11:50:00,PCN-BELMONT,IN CELL,Inmate Fight,Inmate Fight
20180308151,Sample Set BookingID,CNBE-2018-3453,2018-03-13 09:46:00,PCN-BELMONT,IN CELL,Inmate Fight,Inmate Fight
20180224010,Sample Set BookingID,CNBE-2018-3958,2018-03-23 14:00:00,PCN-BELMONT,MALE HOLDING,Disciplinary,Disciplinary
20180516067,Sample Set BookingID,CNBE-2018-6417,2018-05-16 14:30:00,PCN-BELMONT,COURTHOUSE,Flood,
20180517040,Sample Set BookingID,CNBE-2018-6733,2018-05-23 13:00:00,PCN-BELMONT,IN CELL,Inmate Fight,
20180519043,Sample Set BookingID,CNBE-2018-6733,2018-05-23 13:00:00,PCN-BELMONT,IN CELL,Inmate Fight,
20180604037,Sample Set BookingID,CNBE-2018-8031,2018-06-22 10:10:00,PCN-BELMONT,COURTHOUSE,Inmate Fight,Inmate Fight
20180616034,Sample Set BookingID,CNBE-2018-8031,2018-06-22 10:10:00,PCN-BELMONT,COURTHOUSE,Inmate Fight,Inmate Fight
20180420097,Sample Set BookingID,CNFL-2018-10191,2018-08-09 11:00:00,PCN-FLOURNOY,MALE HOLDING,Inmate Fight,Inmate Fight
20180712020,Non Sample Set BookingID,CNFL-2018-10191,2018-08-09 11:00:00,PCN-FLOURNOY,MALE HOLDING,Inmate Fight,Inmate Fight
20180712038,Non Sample Set BookingID,CNFL-2018-10191,2018-08-09 11:00:00,PCN-FLOURNOY,MALE HOLDING,Inmate Fight,Inmate Fight
20180725029,Non Sample Set BookingID,CNFL-2018-10191,2018-08-09 11:00:00,PCN-FLOURNOY,MALE HOLDING,Inmate Fight,Inmate Fight
20170211188,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,Disciplinary,Disciplinary
20170211188,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,Disciplinary,Informational
20170826006,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,Disciplinary,Disciplinary
20170826006,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,Disciplinary,Informational
20180130037,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,Disciplinary,Informational
20180130037,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,Disciplinary,Disciplinary
20180204052,Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,Disciplinary,Disciplinary
20180204052,Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,Disciplinary,Informational
20171217046,Non Sample Set BookingID,CNFL-2018-553,2018-01-12 09:30:00,PCN-FLOURNOY,COURTHOUSE,Inmate Fight,Inmate Fight
20180106057,Sample Set BookingID,CNFL-2018-553,2018-01-12 09:30:00,PCN-FLOURNOY,COURTHOUSE,Inmate Fight,Inmate Fight
20180508033,Non Sample Set BookingID,CNFL-2018-7367,2018-06-06 11:05:00,PCN-FLOURNOY,MALE HOLDING,Inmate Fight,Inmate Fight
20180603142,Sample Set BookingID,CNFL-2018-7367,2018-06-06 11:05:00,PCN-FLOURNOY,MALE HOLDING,Inmate Fight,Inmate Fight
20180302157,Sample Set BookingID,CNGR-2018-11876,2018-09-13 14:50:00,PCN-GRAND,COURT,Inmate Fight,Inmate Fight
20180905127,Non Sample Set BookingID,CNGR-2018-11876,2018-09-13 14:50:00,PCN-GRAND,COURT,Inmate Fight,Inmate Fight
20180122155,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180524071,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180526204,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180526235,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180527021,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180527054,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180527055,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180528185,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180528205,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180530019,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,Disciplinary,Disciplinary
20180404142,Sample Set BookingID,CS111-2018-5055,2018-04-17 11:15:00,PCS-111 TH STREET,COURTHOUSE,Informational,
20180418126,Sample Set BookingID,CS51-2018-6094,2018-05-09 10:47:00,PCS-51 ST STREET,MALE HOLDING,Inmate Fight,Inmate Fight
20180503158,Sample Set BookingID,CS51-2018-6094,2018-05-09 10:47:00,PCS-51 ST STREET,MALE HOLDING,Inmate Fight,Inmate Fight
20180127121,Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Battery to Inmate
20180127121,Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Medical Involved
20180127121,Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180328155,Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180328155,Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Battery to Inmate
20180328155,Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Medical Involved
20180704038,Non Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Battery to Inmate
20180704038,Non Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180704038,Non Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Medical Involved
20180521171,Sample Set BookingID,DIV08-2018-10038,2018-08-06 11:05:00,DIVISION 08 RTU,DAYROOM,Informational,Disciplinary
20180531107,Sample Set BookingID,DIV08-2018-10038,2018-08-06 11:05:00,DIVISION 08 RTU,DAYROOM,Informational,Disciplinary
20180731068,Non Sample Set BookingID,DIV08-2018-10038,2018-08-06 11:05:00,DIVISION 08 RTU,DAYROOM,Informational,Disciplinary
20180510183,Sample Set BookingID,DIV08-2018-10039,2018-08-06 09:30:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180510183,Sample Set BookingID,DIV08-2018-10039,2018-08-06 09:30:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Informational
20180530128,Sample Set BookingID,DIV08-2018-10039,2018-08-06 09:30:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180530128,Sample Set BookingID,DIV08-2018-10039,2018-08-06 09:30:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Informational
20180602191,Sample Set BookingID,DIV08-2018-10039,2018-08-06 09:30:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180602191,Sample Set BookingID,DIV08-2018-10039,2018-08-06 09:30:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Informational
20180222196,Sample Set BookingID,DIV08-2018-10046,2018-08-07 12:15:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180629142,Sample Set BookingID,DIV08-2018-10051,2018-08-06 13:13:00,DIVISION 08 RTU,HALLWAY,Deescalation/Use of Force,Use of Force
20180629142,Sample Set BookingID,DIV08-2018-10051,2018-08-06 13:13:00,DIVISION 08 RTU,HALLWAY,Deescalation/Use of Force,Disciplinary
20170516044,Non Sample Set BookingID,DIV08-2018-10065,2018-08-06 19:14:00,DIVISION 08 RTU,IN CELL,Inmate Fight,Medical Involved
20170516044,Non Sample Set BookingID,DIV08-2018-10065,2018-08-06 19:14:00,DIVISION 08 RTU,IN CELL,Inmate Fight,Disciplinary
20170516044,Non Sample Set BookingID,DIV08-2018-10065,2018-08-06 19:14:00,DIVISION 08 RTU,IN CELL,Inmate Fight,Inmate Fight
20180629142,Sample Set BookingID,DIV08-2018-10065,2018-08-06 19:14:00,DIVISION 08 RTU,IN CELL,Inmate Fight,Disciplinary
20180629142,Sample Set BookingID,DIV08-2018-10065,2018-08-06 19:14:00,DIVISION 08 RTU,IN CELL,Inmate Fight,Medical Involved
20180629142,Sample Set BookingID,DIV08-2018-10065,2018-08-06 19:14:00,DIVISION 08 RTU,IN CELL,Inmate Fight,Inmate Fight
20180616107,Sample Set BookingID,DIV08-2018-10073,2018-08-06 20:30:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180616107,Sample Set BookingID,DIV08-2018-10073,2018-08-06 20:30:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Informational
20180305011,Sample Set BookingID,DIV08-2018-10074,2018-08-06 22:30:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Inmate Fight
20180616205,Sample Set BookingID,DIV08-2018-10074,2018-08-06 22:30:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Inmate Fight
20180130234,Sample Set BookingID,DIV08-2018-10081,2018-08-07 08:35:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Masturbation
20180130234,Sample Set BookingID,DIV08-2018-10081,2018-08-07 08:35:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180510208,Sample Set BookingID,DIV08-2018-10113,2018-08-07 17:50:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Informational
20180510208,Sample Set BookingID,DIV08-2018-10113,2018-08-07 17:50:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Medical Involved
20180510208,Sample Set BookingID,DIV08-2018-10113,2018-08-07 17:50:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Inmate Fight
20180510208,Sample Set BookingID,DIV08-2018-10113,2018-08-07 17:50:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Disciplinary
20180804121,Non Sample Set BookingID,DIV08-2018-10113,2018-08-07 17:50:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Medical Involved
20180804121,Non Sample Set BookingID,DIV08-2018-10113,2018-08-07 17:50:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Informational
20180804121,Non Sample Set BookingID,DIV08-2018-10113,2018-08-07 17:50:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Disciplinary
20180804121,Non Sample Set BookingID,DIV08-2018-10113,2018-08-07 17:50:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Inmate Fight
20180511157,Sample Set BookingID,DIV08-2018-10116,2018-08-07 19:00:00,DIVISION 08 RTU,IN CELL,Flood,Flood
20180306221,Sample Set BookingID,DIV08-2018-10163,2018-08-08 18:00:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180306221,Sample Set BookingID,DIV08-2018-10163,2018-08-08 18:00:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Informational
20180422036,Sample Set BookingID,DIV08-2018-10163,2018-08-08 18:00:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180422036,Sample Set BookingID,DIV08-2018-10163,2018-08-08 18:00:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Informational
20180117134,Sample Set BookingID,DIV08-2018-10183,2018-08-09 09:14:00,DIVISION 08 RTU,IN CELL,Disciplinary,Medical Involved
20180117134,Sample Set BookingID,DIV08-2018-10183,2018-08-09 09:14:00,DIVISION 08 RTU,IN CELL,Disciplinary,Disciplinary
20180317067,Sample Set BookingID,DIV08-2018-10183,2018-08-09 09:14:00,DIVISION 08 RTU,IN CELL,Disciplinary,Disciplinary
20180317067,Sample Set BookingID,DIV08-2018-10183,2018-08-09 09:14:00,DIVISION 08 RTU,IN CELL,Disciplinary,Medical Involved
20180108137,Sample Set BookingID,DIV08-2018-10208,2018-08-09 12:50:00,DIVISION 08 RTU,DAYROOM,Deescalation/Fight,Disciplinary
20180108137,Sample Set BookingID,DIV08-2018-10208,2018-08-09 12:50:00,DIVISION 08 RTU,DAYROOM,Deescalation/Fight,Inmate Fight
20180805101,Non Sample Set BookingID,DIV08-2018-10208,2018-08-09 12:50:00,DIVISION 08 RTU,DAYROOM,Deescalation/Fight,Disciplinary
20180805101,Non Sample Set BookingID,DIV08-2018-10208,2018-08-09 12:50:00,DIVISION 08 RTU,DAYROOM,Deescalation/Fight,Inmate Fight
20171113115,Non Sample Set BookingID,DIV08-2018-10212,2018-08-09 13:55:00,DIVISION 08 RTU,IN CELL,Disciplinary,Disciplinary
20180222196,Sample Set BookingID,DIV08-2018-10212,2018-08-09 13:55:00,DIVISION 08 RTU,IN CELL,Disciplinary,Disciplinary
20180516177,Sample Set BookingID,DIV08-2018-10216,2018-08-09 14:30:00,DIVISION 08 RTU,DAYROOM,Deescalation/Fight,Inmate Fight
20180717092,Non Sample Set BookingID,DIV08-2018-10216,2018-08-09 14:30:00,DIVISION 08 RTU,DAYROOM,Deescalation/Fight,Inmate Fight
20180222196,Sample Set BookingID,DIV08-2018-10228,2018-08-09 16:40:00,DIVISION 08 RTU,FEMALE HOLDING,Use of Force,Battery to Staff
20180222196,Sample Set BookingID,DIV08-2018-10228,2018-08-09 16:40:00,DIVISION 08 RTU,FEMALE HOLDING,Use of Force,Disciplinary
20180222196,Sample Set BookingID,DIV08-2018-10228,2018-08-09 16:40:00,DIVISION 08 RTU,FEMALE HOLDING,Use of Force,Use of Force
20180507151,Sample Set BookingID,DIV08-2018-10241,2018-08-09 19:50:00,DIVISION 08 RTU,DAYROOM,Disciplinary,Disciplinary
20180615240,Sample Set BookingID,DIV08-2018-10248,2018-08-10 02:35:00,DIVISION 08 RTU,SHOWER ROOM,Disciplinary,Disciplinary
20180615240,Sample Set BookingID,DIV08-2018-10248,2018-08-10 02:35:00,DIVISION 08 RTU,SHOWER ROOM,Disciplinary,Informational
20180216202,Sample Set BookingID,DIV08-2018-10276,2018-08-10 15:20:00,DIVISION 08 RTU,STAGING AREA,Disciplinary,Disciplinary
20180726003,Non Sample Set BookingID,DIV08-2018-10276,2018-08-10 15:20:00,DIVISION 08 RTU,STAGING AREA,Disciplinary,Disciplinary
20180413132,Sample Set BookingID,DIV08-2018-10350,2018-08-12 10:15:00,DIVISION 08 RTU,IN CELL,Disciplinary,
20180531245,Sample Set BookingID,DIV08-2018-10350,2018-08-12 10:15:00,DIVISION 08 RTU,IN CELL,Disciplinary,
20180127121,Sample Set BookingID,DIV08-2018-10376,2018-08-12 19:51:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Inmate Fight
20180127121,Sample Set BookingID,DIV08-2018-10376,2018-08-12 19:51:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Disciplinary
20180127121,Sample Set BookingID,DIV08-2018-10376,2018-08-12 19:51:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Informational
20180127121,Sample Set BookingID,DIV08-2018-10376,2018-08-12 19:51:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Medical Involved
20180411126,Sample Set BookingID,DIV08-2018-10376,2018-08-12 19:51:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Inmate Fight
20180411126,Sample Set BookingID,DIV08-2018-10376,2018-08-12 19:51:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Informational
20180411126,Sample Set BookingID,DIV08-2018-10376,2018-08-12 19:51:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Medical Involved
20180411126,Sample Set BookingID,DIV08-2018-10376,2018-08-12 19:51:00,DIVISION 08 RTU,DAYROOM,Inmate Fight,Disciplinary
