booking_id,booking_id_type,incident_number,incident_date_time,incident_facility_location,incident_location,infraction
20180115001,Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,208 Flooding
20180117079,Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,105 Disorderly Conduct
20180117079,Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,106 Failure to Maintain Sanitary or Orderly Conditions
20180117079,Sample Set BookingID,BV-2018-9131,2018-07-17 11:50:00,BRIDGEVIEW,COURTHOUSE,208 Flooding
20180429031,Sample Set BookingID,CCB-2018-10048,2018-08-06 12:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,313 Masturbation
20180529115,Sample Set BookingID,CCB-2018-10550,2018-08-16 10:20:00,CRIMINAL COURTS BUILDING,COURTHOUSE,403 Assault on Staff with Bodily Fluids
20180101030,Sample Set BookingID,CCB-2018-11490,2018-09-05 11:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180101030,Sample Set BookingID,CCB-2018-11490,2018-09-05 11:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,115 Possession of Level 1 Contraband
20180101030,Sample Set BookingID,CCB-2018-11490,2018-09-05 11:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,119 Writing or Distributing Kites
20180330219,Sample Set BookingID,CCB-2018-13516,2018-10-23 10:25:00,CRIMINAL COURTS BUILDING,COURT,313 Masturbation
20161124094,Non Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20161124094,Non Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,207 Fighting
20161124094,Non Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,219 Disobeying or Resisting Orders
20180107144,Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180107144,Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,207 Fighting
20180107144,Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,219 Disobeying or Resisting Orders
20190105183,Non Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20190105183,Non Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,207 Fighting
20190105183,Non Sample Set BookingID,CCB-2018-1437,2018-01-29 09:15:00,CRIMINAL COURTS BUILDING,COURTHOUSE,219 Disobeying or Resisting Orders
20140926012,Non Sample Set BookingID,CCB-2018-14484,2018-11-14 10:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20140926012,Non Sample Set BookingID,CCB-2018-14484,2018-11-14 10:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,119 Writing or Distributing Kites
20180418071,Sample Set BookingID,CCB-2018-14484,2018-11-14 10:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180418071,Sample Set BookingID,CCB-2018-14484,2018-11-14 10:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,119 Writing or Distributing Kites
20180418071,Sample Set BookingID,CCB-2018-14484,2018-11-14 10:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,219 Disobeying or Resisting Orders
20170831143,Non Sample Set BookingID,CCB-2018-15648,2018-12-13 08:30:00,CRIMINAL COURTS BUILDING,CCB BRIDGE,207 Fighting
20180107012,Sample Set BookingID,CCB-2018-15648,2018-12-13 08:30:00,CRIMINAL COURTS BUILDING,CCB BRIDGE,207 Fighting
20180518022,Sample Set BookingID,CCB-2018-15648,2018-12-13 08:30:00,CRIMINAL COURTS BUILDING,CCB BRIDGE,207 Fighting
20180213188,Sample Set BookingID,CCB-2018-2123,2018-02-13 14:00:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180213188,Sample Set BookingID,CCB-2018-2123,2018-02-13 14:00:00,CRIMINAL COURTS BUILDING,COURTHOUSE,212 Movement Violation
20180213188,Sample Set BookingID,CCB-2018-2123,2018-02-13 14:00:00,CRIMINAL COURTS BUILDING,COURTHOUSE,219 Disobeying or Resisting Orders
20180201038,Sample Set BookingID,CCB-2018-4131,2018-03-27 10:56:00,CRIMINAL COURTS BUILDING,COURTHOUSE,320 Verbal Threat to Staff
20180201038,Sample Set BookingID,CCB-2018-4131,2018-03-27 10:56:00,CRIMINAL COURTS BUILDING,COURTHOUSE,322 Disrespect to Staff
20180407052,Sample Set BookingID,CCB-2018-5013,2018-04-16 12:30:00,DIVISION 6,RCDC,
20180415002,Non Sample Set BookingID,CCB-2018-5013,2018-04-16 12:30:00,DIVISION 6,RCDC,
20180314047,Sample Set BookingID,CCB-2018-5213,2018-04-20 11:50:00,CRIMINAL COURTS BUILDING,COURTHOUSE,102 Disrupting a Judicial Proceeding
20180314047,Sample Set BookingID,CCB-2018-5213,2018-04-20 11:50:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180314047,Sample Set BookingID,CCB-2018-5213,2018-04-20 11:50:00,CRIMINAL COURTS BUILDING,COURTHOUSE,219 Disobeying or Resisting Orders
20180314047,Sample Set BookingID,CCB-2018-5213,2018-04-20 11:50:00,CRIMINAL COURTS BUILDING,COURTHOUSE,406 Escape and Attempted Escape
20180314047,Sample Set BookingID,CCB-2018-5213,2018-04-20 11:50:00,CRIMINAL COURTS BUILDING,COURTHOUSE,413 Attempted Battery to Staff
20180207010,Sample Set BookingID,CCB-2018-8314,2018-06-28 13:35:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180207010,Sample Set BookingID,CCB-2018-8314,2018-06-28 13:35:00,CRIMINAL COURTS BUILDING,COURTHOUSE,207 Fighting
20180207010,Sample Set BookingID,CCB-2018-8314,2018-06-28 13:35:00,CRIMINAL COURTS BUILDING,COURTHOUSE,219 Disobeying or Resisting Orders
20180207010,Sample Set BookingID,CCB-2018-8314,2018-06-28 13:35:00,CRIMINAL COURTS BUILDING,COURTHOUSE,307 Battery
20180207010,Sample Set BookingID,CCB-2018-8314,2018-06-28 13:35:00,CRIMINAL COURTS BUILDING,COURTHOUSE,322 Disrespect to Staff
20180207010,Sample Set BookingID,CCB-2018-8314,2018-06-28 13:35:00,CRIMINAL COURTS BUILDING,COURTHOUSE,402 Aggravated Battery
20180207010,Sample Set BookingID,CCB-2018-8314,2018-06-28 13:35:00,CRIMINAL COURTS BUILDING,COURTHOUSE,404 Battery to Staff
20180529115,Sample Set BookingID,CCB-2018-9129,2018-07-17 09:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,207 Fighting
20180529115,Sample Set BookingID,CCB-2018-9129,2018-07-17 09:30:00,CRIMINAL COURTS BUILDING,COURTHOUSE,307 Battery
20140804277,Non Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20171210128,Non Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20171210130,Non Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180413219,Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180413219,Sample Set BookingID,CCB-2018-9190,2018-07-18 11:10:00,CRIMINAL COURTS BUILDING,COURTHOUSE,318 Tampering with Security Equipment
20171106238,Non Sample Set BookingID,CCB-2018-9456,2018-07-24 11:25:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20171106238,Non Sample Set BookingID,CCB-2018-9456,2018-07-24 11:25:00,CRIMINAL COURTS BUILDING,COURTHOUSE,119 Writing or Distributing Kites
20180101030,Sample Set BookingID,CCB-2018-9456,2018-07-24 11:25:00,CRIMINAL COURTS BUILDING,COURTHOUSE,105 Disorderly Conduct
20180101030,Sample Set BookingID,CCB-2018-9456,2018-07-24 11:25:00,CRIMINAL COURTS BUILDING,COURTHOUSE,119 Writing or Distributing Kites
20180511154,Sample Set BookingID,CCB-2019-1407,2019-02-01 14:05:00,CRIMINAL COURTS BUILDING,Courtroom,404 Battery to Staff
20180511154,Sample Set BookingID,CCB-2019-1407,2019-02-01 14:05:00,CRIMINAL COURTS BUILDING,Courtroom,413 Attempted Battery to Staff
20180113170,Sample Set BookingID,CCMT-2018-11104,2018-08-28 08:00:00,CRIMINAL COURT MOVEMENT TEAM,TUNNEL,212 Movement Violation
20180113170,Sample Set BookingID,CCMT-2018-11104,2018-08-28 08:00:00,CRIMINAL COURT MOVEMENT TEAM,TUNNEL,219 Disobeying or Resisting Orders
20180414027,Sample Set BookingID,CCMT-2018-12024,2018-09-17 09:48:00,CRIMINAL COURT MOVEMENT TEAM,CCB BRIDGE,313 Masturbation
20180112077,Sample Set BookingID,CCMT-2018-14413,2018-11-13 07:45:00,CRIMINAL COURT MOVEMENT TEAM,HALLWAY,219 Disobeying or Resisting Orders
20180117124,Sample Set BookingID,CCMT-2018-5311,2018-04-23 07:47:00,CRIMINAL COURT MOVEMENT TEAM,STAGING AREA,219 Disobeying or Resisting Orders
20180517139,Sample Set BookingID,CCMT-2018-8907,2018-07-12 11:35:00,CRIMINAL COURT MOVEMENT TEAM,CCB BRIDGE,219 Disobeying or Resisting Orders
20180517139,Sample Set BookingID,CCMT-2018-8907,2018-07-12 11:35:00,CRIMINAL COURT MOVEMENT TEAM,CCB BRIDGE,301 Aggravated Verbal Threat
20180529115,Sample Set BookingID,CCMT-2018-9138,2018-07-17 12:37:00,CRIMINAL COURT MOVEMENT TEAM,COURTHOUSE,404 Battery to Staff
20180115069,Sample Set BookingID,CIID-2018-10862,2018-08-22 16:00:00,CIID,CIID,304 Aggravated Writing or Distributing Kites
20180115069,Sample Set BookingID,CIID-2018-10862,2018-08-22 16:00:00,CIID,CIID,315 Possession of Level 3 Contraband
20180223066,Sample Set BookingID,CIID-2018-11503,2018-09-01 10:07:00,CIID,DAYROOM,318 Tampering with Security Equipment
20140926012,Non Sample Set BookingID,CIID-2018-11556,2018-09-06 15:45:00,CIID,HALLWAY,315 Possession of Level 3 Contraband
20180623183,Sample Set BookingID,CIID-2018-11556,2018-09-06 15:45:00,CIID,HALLWAY,315 Possession of Level 3 Contraband
20180623079,Sample Set BookingID,CIID-2018-11628,2018-09-06 10:30:00,CIID,CIID,209 Gang Activity
20180330089,Sample Set BookingID,CIID-2018-12197,2018-09-19 10:13:00,CIID,POST 8,105 Disorderly Conduct
20180330089,Sample Set BookingID,CIID-2018-12197,2018-09-19 10:13:00,CIID,POST 8,310 Endangerment of Public Health
20180330089,Sample Set BookingID,CIID-2018-12197,2018-09-19 10:13:00,CIID,POST 8,413 Attempted Battery to Staff
20180303094,Sample Set BookingID,CIID-2018-4585,2018-04-06 10:00:00,CIID,CIID,209 Gang Activity
20180303094,Sample Set BookingID,CIID-2018-4585,2018-04-06 10:00:00,CIID,CIID,315 Possession of Level 3 Contraband
20180115001,Sample Set BookingID,CIID-2018-6097,2018-05-09 11:00:00,CIID,DAYROOM,319 Unauthorized Possession of Drugs
20170321039,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,213 Obstruction of Vents
20170321039,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,327 Damage to CCSO Property
20170529128,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,213 Obstruction of Vents
20170529128,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,327 Damage to CCSO Property
20180330085,Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,213 Obstruction of Vents
20180330085,Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,327 Damage to CCSO Property
20180608172,Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,213 Obstruction of Vents
20180608172,Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,327 Damage to CCSO Property
20180626168,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,213 Obstruction of Vents
20180626168,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,327 Damage to CCSO Property
20181115215,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,213 Obstruction of Vents
20181115215,Non Sample Set BookingID,CIID-2018-9452,2018-07-24 11:00:00,CIID,DAYROOM,327 Damage to CCSO Property
20180121064,Sample Set BookingID,CNBE-2018-1348,2018-01-26 11:50:00,PCN-BELMONT,IN CELL,207 Fighting
20180224010,Sample Set BookingID,CNBE-2018-3453,2018-03-13 09:46:00,PCN-BELMONT,IN CELL,
20180224010,Sample Set BookingID,CNBE-2018-3958,2018-03-23 14:00:00,PCN-BELMONT,MALE HOLDING,
20181219100,Non Sample Set BookingID,CNBE-2018-6417,2018-05-16 14:30:00,PCN-BELMONT,COURTHOUSE,114 Obstruction of Plumbing
20181219100,Non Sample Set BookingID,CNBE-2018-6417,2018-05-16 14:30:00,PCN-BELMONT,COURTHOUSE,208 Flooding
20180517040,Sample Set BookingID,CNBE-2018-6733,2018-05-23 13:00:00,PCN-BELMONT,IN CELL,207 Fighting
20180519043,Sample Set BookingID,CNBE-2018-6733,2018-05-23 13:00:00,PCN-BELMONT,IN CELL,207 Fighting
20190228088,Non Sample Set BookingID,CNBE-2018-8031,2018-06-22 10:10:00,PCN-BELMONT,COURTHOUSE,207 Fighting
20190228088,Non Sample Set BookingID,CNBE-2018-8031,2018-06-22 10:10:00,PCN-BELMONT,COURTHOUSE,307 Battery
20180420097,Sample Set BookingID,CNFL-2018-10191,2018-08-09 11:00:00,PCN-FLOURNOY,MALE HOLDING,207 Fighting
20180712038,Non Sample Set BookingID,CNFL-2018-10191,2018-08-09 11:00:00,PCN-FLOURNOY,MALE HOLDING,207 Fighting
20181119218,Non Sample Set BookingID,CNFL-2018-10191,2018-08-09 11:00:00,PCN-FLOURNOY,MALE HOLDING,207 Fighting
20170211188,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,102 Disrupting a Judicial Proceeding
20170211188,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,105 Disorderly Conduct
20170826006,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,102 Disrupting a Judicial Proceeding
20170826006,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,105 Disorderly Conduct
20180204052,Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,102 Disrupting a Judicial Proceeding
20180204052,Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,105 Disorderly Conduct
20181104041,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,102 Disrupting a Judicial Proceeding
20181104041,Non Sample Set BookingID,CNFL-2018-2118,2018-02-13 12:30:00,PCN-FLOURNOY,MALE HOLDING,105 Disorderly Conduct
20171217046,Non Sample Set BookingID,CNFL-2018-553,2018-01-12 09:30:00,PCN-FLOURNOY,COURTHOUSE,207 Fighting
20180106057,Sample Set BookingID,CNFL-2018-553,2018-01-12 09:30:00,PCN-FLOURNOY,COURTHOUSE,207 Fighting
20181022029,Non Sample Set BookingID,CNFL-2018-7367,2018-06-06 11:05:00,PCN-FLOURNOY,MALE HOLDING,207 Fighting
20180302157,Sample Set BookingID,CNGR-2018-11876,2018-09-13 14:50:00,PCN-GRAND,COURT,207 Fighting
20180122155,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180122155,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180122155,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180122155,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180524071,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180524071,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180524071,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180524071,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180526204,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180526204,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180526204,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180526204,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180526235,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180526235,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180526235,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180526235,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180527021,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180527021,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180527021,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180527021,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180527054,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180527054,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180527054,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180527054,Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180527055,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180527055,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180527055,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180527055,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180528205,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180528205,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180528205,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180528205,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180530019,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20180530019,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20180530019,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20180530019,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20190206112,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,114 Obstruction of Plumbing
20190206112,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,208 Flooding
20190206112,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,320 Verbal Threat to Staff
20190206112,Non Sample Set BookingID,CNGR-2018-7197,2018-06-01 12:00:00,PCN-GRAND,COURTHOUSE,322 Disrespect to Staff
20180404142,Sample Set BookingID,CS111-2018-5055,2018-04-17 11:15:00,PCS-111 TH STREET,COURTHOUSE,102 Disrupting a Judicial Proceeding
20180404142,Sample Set BookingID,CS111-2018-5055,2018-04-17 11:15:00,PCS-111 TH STREET,COURTHOUSE,320 Verbal Threat to Staff
20180404142,Sample Set BookingID,CS111-2018-5055,2018-04-17 11:15:00,PCS-111 TH STREET,COURTHOUSE,322 Disrespect to Staff
20180418126,Sample Set BookingID,CS51-2018-6094,2018-05-09 10:47:00,PCS-51 ST STREET,MALE HOLDING,207 Fighting
20180503158,Sample Set BookingID,CS51-2018-6094,2018-05-09 10:47:00,PCS-51 ST STREET,MALE HOLDING,207 Fighting
20180127121,Sample Set BookingID,DIV08-2018-10025,2018-08-05 22:28:00,DIVISION 08 RTU,DAYROOM,307 Battery
20180222196,Sample Set BookingID,DIV08-2018-10038,2018-08-06 11:05:00,DIVISION 08 RTU,DAYROOM,105 Disorderly Conduct
20180521171,Sample Set BookingID,DIV08-2018-10038,2018-08-06 11:05:00,DIVISION 08 RTU,DAYROOM,219 Disobeying or Resisting Orders
20180731068,Non Sample Set BookingID,DIV08-2018-10038,2018-08-06 11:05:00,DIVISION 08 RTU,DAYROOM,122 Verbal Threat to an Inmate
20180731068,Non Sample Set BookingID,DIV08-2018-10038,2018-08-06 11:05:00,DIVISION 08 RTU,DAYROOM,219 Disobeying or Resisting Orders
20180510183,Sample Set BookingID,DIV08-2018-10039,2018-08-06 09:30:00,DIVISION 08 RTU,DAYROOM,117 Theft From Another Inmate
20180530128,Sample Set BookingID,DIV08-2018-10039,2018-08-06 09:30:00,DIVISION 08 RTU,DAYROOM,117 Theft From Another Inmate
20180222196,Sample Set BookingID,DIV08-2018-10046,2018-08-07 12:15:00,DIVISION 08 RTU,DAYROOM,105 Disorderly Conduct
20180629142,Sample Set BookingID,DIV08-2018-10051,2018-08-06 13:13:00,DIVISION 08 RTU,HALLWAY,219 Disobeying or Resisting Orders
20180629142,Sample Set BookingID,DIV08-2018-10051,2018-08-06 13:13:00,DIVISION 08 RTU,HALLWAY,301 Aggravated Verbal Threat
20180629142,Sample Set BookingID,DIV08-2018-10051,2018-08-06 13:13:00,DIVISION 08 RTU,HALLWAY,320 Verbal Threat to Staff
20170516044,Non Sample Set BookingID,DIV08-2018-10065,2018-08-06 19:14:00,DIVISION 08 RTU,IN CELL,207 Fighting
20180629142,Sample Set BookingID,DIV08-2018-10065,2018-08-06 19:14:00,DIVISION 08 RTU,IN CELL,207 Fighting
